run_key,rep,qid,layer,lane,pro_signal,persona,lang,intent,reasoning_mode_sent,chat_mode_sent,request_id,ts_utc,t_first_event_s,t_first_stage_s,ttft_first_delta_s,_ttft_content_s,total_s,delta_events,frame_count,max_gap_s,db_model,db_model_tier,db_ai_reasoning_mode,db_prompt_tokens,db_completion_tokens,_cost_usd,_price_model,_usage_src,error,response_chars,quality_pass,first_touch_tier,session_id
L0-11#r1,1,L0-11,L0,free,none,professional,zh,memory_write,fast,standard,wt406q06-l0-11-r1-23073b,2026-09-25T16:45:24+00:00,0.0421,0.0421,1.1941,1.1941,1.501,3,18,0.5974,dashscope_fast,fast,fast,1339,10,4.3498601398601386e-05,qwen3.7-flash,db,,16,True,fast,b3d37ac8-cf05-44c0-88d2-0d1e61445650
L0-12#r1,1,L0-12,L0,free,none,beginner,zh,quick_fact,fast,standard,wt406q06-l0-12-r1-50206f,2026-09-25T16:45:26+00:00,0.0377,0.0377,0.8753,0.8753,8.5118,5,21,6.9657,dashscope_fast,fast,fast,1334,50,4.879020979020978e-05,qwen3.7-flash,db,,81,False,fast,b3d37ac8-cf05-44c0-88d2-0d1e61445650
L0-13#r1,1,L0-13,L0,free,none,college_student,en,quick_fact,fast,standard,wt406q06-l0-13-r1-c31db7,2026-09-25T16:45:36+00:00,0.0412,0.0412,2.4699,2.4699,22.8894,37,53,10.0894,dashscope_fast,fast,fast,2679,440,0.00014424265734265735,qwen3.7-flash,db,,707,False,fast,9ff71d34-f1d9-4775-ab8b-590990b58518
L0-14#r1,1,L0-14,L0,free,none,self_learner,en,greeting,fast,standard,wt406q06-l0-14-r1-cb85fc,2026-09-25T16:45:59+00:00,0.0251,0.0251,0.9557,0.9557,16.4814,7,25,10.0762,dashscope_fast,fast,fast,1330,58,4.975412587412587e-05,qwen3.7-flash,db,,110,False,fast,9ff71d34-f1d9-4775-ab8b-590990b58518
L0-15#r1,1,L0-15,L0,free,none,exam_candidate,zh,greeting,fast,standard,wt406q06-l0-15-r1-acb57f,2026-09-25T16:46:17+00:00,0.0293,0.0293,1.3146,1.3146,1.8094,3,22,0.4543,dashscope_fast,fast,fast,1303,16,4.318307692307691e-05,qwen3.7-flash,db,,30,True,fast,9ff71d34-f1d9-4775-ab8b-590990b58518
L0-16#r1,1,L0-16,L0,free,none,self_learner,zh,greeting,fast,standard,wt406q06-l0-16-r1-df7f16,2026-09-25T16:46:19+00:00,0.0296,0.0296,1.5047,1.5047,1.6703,2,17,0.9885,dashscope_fast,fast,fast,1303,8,4.20932867132867e-05,qwen3.7-flash,db,,10,True,fast,cccd65cd-ee6d-4f94-85eb-196fcb78929a
L0-17#r1,1,L0-17,L0,free,none,professional,mixed,greeting,fast,standard,wt406q06-l0-17-r1-dd143d,2026-09-25T16:46:22+00:00,0.0199,0.0199,1.079,1.079,14.3242,8,24,10.0538,dashscope_fast,fast,fast,1334,83,5.3285594405594395e-05,qwen3.7-flash,db,,166,True,fast,cccd65cd-ee6d-4f94-85eb-196fcb78929a
L0-18#r1,1,L0-18,L0,free,none,beginner,zh,ack,fast,standard,wt406q06-l0-18-r1-de5ade,2026-09-25T16:46:37+00:00,0.032,0.032,0.7461,0.7461,1.3938,5,20,0.3299,dashscope_fast,fast,fast,1304,28,4.484923076923077e-05,qwen3.7-flash,db,,48,True,fast,cccd65cd-ee6d-4f94-85eb-196fcb78929a
L0-19#r1,1,L0-19,L0,free,none,exam_candidate,zh,continuation,fast,standard,wt406q06-l0-19-r1-ce99ae,2026-09-25T16:46:39+00:00,0.0377,0.0377,0.987,0.987,12.3281,7,22,9.8386,dashscope_fast,fast,fast,1329,76,5.217468531468531e-05,qwen3.7-flash,db,,136,True,fast,a29c15ab-9b18-439c-8f8f-91b19da5a9bd
L0-20#r1,1,L0-20,L0,free,none,college_student,zh,ack,fast,standard,wt406q06-l0-20-r1-eeb526,2026-09-25T16:46:52+00:00,0.0352,0.0352,0.7871,0.7871,1.7552,5,20,0.3595,dashscope_fast,fast,fast,1308,35,4.5928671328671315e-05,qwen3.7-flash,db,,58,True,fast,a29c15ab-9b18-439c-8f8f-91b19da5a9bd
L0-21#r1,1,L0-21,L0,free,none,self_learner,zh,continuation,fast,standard,wt406q06-l0-21-r1-c190ff,2026-09-25T16:46:55+00:00,0.0452,0.0452,0.677,0.677,1.5367,6,21,0.3023,dashscope_fast,fast,fast,987,40,3.6508391608391606e-05,qwen3.7-flash,db,,74,True,fast,a29c15ab-9b18-439c-8f8f-91b19da5a9bd
L0-22#r1,1,L0-22,L0,free,none,beginner,zh,thanks,fast,standard,wt406q06-l0-22-r1-7dcc1a,2026-09-25T16:46:57+00:00,0.0316,0.0316,0.8414,0.8414,16.0236,9,25,10.0751,dashscope_fast,fast,fast,1306,84,5.25406993006993e-05,qwen3.7-flash,db,,167,True,fast,a5f7d6f4-e733-4628-a1df-48353eea0ee0
L0-23#r1,1,L0-23,L0,free,none,exam_candidate,zh,memory_write,fast,standard,wt406q06-l0-23-r1-b68e0e,2026-09-25T16:47:14+00:00,0.0297,0.0297,1.0263,1.0263,20.5099,11,29,10.0873,dashscope_fast,fast,fast,1314,113,5.674293706293706e-05,qwen3.7-flash,db,,203,True,fast,a5f7d6f4-e733-4628-a1df-48353eea0ee0
L0-24#r1,1,L0-24,L0,free,none,beginner,zh,persona_fact,fast,standard,wt406q06-l0-24-r1-218520,2026-09-25T16:47:35+00:00,0.0466,0.0466,1.0107,1.0107,17.438,8,25,10.0728,dashscope_fast,fast,fast,1336,64,5.076027972027971e-05,qwen3.7-flash,db,,128,True,fast,a5f7d6f4-e733-4628-a1df-48353eea0ee0
L0-25#r1,1,L0-25,L0,free,none,college_student,zh,quick_fact,fast,standard,wt406q06-l0-25-r1-8774b6,2026-09-25T16:47:54+00:00,0.0436,0.0436,0.7459,0.7459,6.7505,6,21,5.1314,dashscope_fast,fast,fast,1336,56,4.96704895104895e-05,qwen3.7-flash,db,,82,True,fast,0f1a9f2a-f7c5-41a8-8297-fee8d693c3dd
L0-26#r1,1,L0-26,L0,free,none,professional,en,quick_fact,fast,standard,wt406q06-l0-26-r1-2b0ba4,2026-09-25T16:48:01+00:00,0.0195,0.0195,0.9997,0.9997,1.7984,6,21,0.6422,dashscope_fast,fast,fast,1312,49,4.796167832167832e-05,qwen3.7-flash,db,,168,True,fast,0f1a9f2a-f7c5-41a8-8297-fee8d693c3dd
L0-27#r1,1,L0-27,L0,free,none,beginner,zh,greeting,fast,standard,wt406q06-l0-27-r1-c8a946,2026-09-25T16:48:04+00:00,0.0153,0.0153,0.6845,0.6845,14.0906,9,25,10.088,dashscope_fast,fast,fast,1305,73,5.1010769230769225e-05,qwen3.7-flash,db,,126,True,fast,0f1a9f2a-f7c5-41a8-8297-fee8d693c3dd
L0-28#r1,1,L0-28,L0,free,none,professional,en,greeting,fast,standard,wt406q06-l0-28-r1-93d5e5,2026-09-25T16:48:19+00:00,0.0134,0.0134,1.025,1.025,14.4608,6,22,10.0913,dashscope_fast,fast,fast,1330,55,4.934545454545454e-05,qwen3.7-flash,db,,101,False,fast,f6dfcb38-b0a6-4d63-8566-6e53ea21d9a3
L0-29#r1,1,L0-29,L0,free,none,researcher,zh,ack,fast,standard,wt406q06-l0-29-r1-adb2ab,2026-09-25T16:48:34+00:00,0.0214,0.0214,0.9269,0.9269,1.571,5,20,0.5532,dashscope_fast,fast,fast,1304,30,4.512167832167832e-05,qwen3.7-flash,db,,57,True,fast,f6dfcb38-b0a6-4d63-8566-6e53ea21d9a3
L0-30#r1,1,L0-30,L0,free,none,college_student,zh,thanks,fast,standard,wt406q06-l0-30-r1-95143b,2026-09-25T16:48:36+00:00,0.0143,0.0143,0.9717,0.9717,1.9481,6,23,0.6183,dashscope_fast,fast,fast,1304,40,4.6483916083916084e-05,qwen3.7-flash,db,,76,True,fast,f6dfcb38-b0a6-4d63-8566-6e53ea21d9a3
L0-31#r1,1,L0-31,L0,free,none,exam_candidate,en,ack,fast,standard,wt406q06-l0-31-r1-da12f9,2026-09-25T16:48:39+00:00,0.0234,0.0234,0.7007,0.7007,0.9063,2,17,0.3624,dashscope_fast,fast,fast,1330,2,4.21255944055944e-05,qwen3.7-flash,db,,3,False,fast,3e6fba8d-db29-4a5f-831c-d69c62ab6f3e
L0-32#r1,1,L0-32,L0,free,none,self_learner,zh,continuation,fast,standard,wt406q06-l0-32-r1-ace3ff,2026-09-25T16:48:41+00:00,0.0222,0.0222,3.2392,3.2392,14.9215,11,27,9.7945,dashscope_fast,fast,fast,1304,107,5.561090909090908e-05,qwen3.7-flash,db,,204,True,fast,3e6fba8d-db29-4a5f-831c-d69c62ab6f3e
L0-33#r1,1,L0-33,L0,free,none,beginner,zh,memory_write,fast,standard,wt406q06-l0-33-r1-fec355,2026-09-25T16:48:56+00:00,0.0235,0.0235,0.9195,0.9195,1.266,3,18,0.4733,dashscope_fast,fast,fast,1000,11,3.296699300699301e-05,qwen3.7-flash,db,,19,True,fast,3e6fba8d-db29-4a5f-831c-d69c62ab6f3e
L0-34#r1,1,L0-34,L0,free,none,professional,en,memory_write,fast,standard,wt406q06-l0-34-r1-26bfec,2026-09-25T16:48:59+00:00,0.0208,0.0208,0.8333,0.8333,17.0283,10,27,10.02,dashscope_fast,fast,fast,1311,90,5.351538461538462e-05,qwen3.7-flash,db,,168,False,fast,ebc195e2-59da-425d-8c79-27b844e6604f
L0-35#r1,1,L0-35,L0,free,none,exam_candidate,zh,quick_fact,fast,standard,wt406q06-l0-35-r1-79dd94,2026-09-25T16:49:16+00:00,0.0218,0.0218,0.8916,0.8916,6.2414,7,27,4.4713,dashscope_fast,fast,fast,1332,71,5.158797202797202e-05,qwen3.7-flash,db,,105,True,fast,ebc195e2-59da-425d-8c79-27b844e6604f
L0-36#r1,1,L0-36,L0,free,none,college_student,en,quick_fact,fast,standard,wt406q06-l0-36-r1-4e7fc5,2026-09-25T16:49:23+00:00,0.0199,0.0199,1.1714,1.1714,14.3002,5,21,10.071,dashscope_fast,fast,fast,1334,51,4.8926433566433554e-05,qwen3.7-flash,db,,155,False,fast,ebc195e2-59da-425d-8c79-27b844e6604f
L0-37#r1,1,L0-37,L0,free,none,self_learner,zh,quick_fact,fast,standard,wt406q06-l0-37-r1-58d75b,2026-09-25T16:49:38+00:00,0.0245,0.0245,0.693,0.693,10.0836,7,22,8.4326,dashscope_fast,fast,fast,1306,59,4.9135104895104894e-05,qwen3.7-flash,db,,83,False,fast,c18d26fe-4cc9-40b0-a2d4-40ce785a2a39
L0-38#r1,1,L0-38,L0,free,none,beginner,zh,greeting,fast,standard,wt406q06-l0-38-r1-dbefab,2026-09-25T16:49:49+00:00,0.0213,0.0213,0.9165,0.9165,29.9194,8,24,10.0915,dashscope_fast,fast,fast,1331,56,4.951314685314684e-05,qwen3.7-flash,db,,147,True,fast,c18d26fe-4cc9-40b0-a2d4-40ce785a2a39
L0-39#r1,1,L0-39,L0,free,none,researcher,en,greeting,fast,standard,wt406q06-l0-39-r1-1c85b3,2026-09-25T16:50:20+00:00,0.0256,0.0256,0.7035,0.7035,11.1705,8,23,9.0661,dashscope_fast,fast,fast,1330,78,5.24786013986014e-05,qwen3.7-flash,db,,155,False,fast,c18d26fe-4cc9-40b0-a2d4-40ce785a2a39
L0-40#r1,1,L0-40,L0,free,none,college_student,zh,ack,fast,standard,wt406q06-l0-40-r1-ce1214,2026-09-25T16:50:32+00:00,0.0154,0.0154,0.6232,0.6232,15.2696,8,24,10.059,dashscope_fast,fast,fast,1332,53,4.913594405594405e-05,qwen3.7-flash,db,,118,True,fast,23fbf856-e645-405d-b47d-ea11cdd8b923
L0-41#r1,1,L0-41,L0,free,none,professional,zh,persona_fact,fast,standard,wt406q06-l0-41-r1-7215e7,2026-09-25T16:50:48+00:00,0.0407,0.0407,0.7877,0.7877,20.4986,17,35,10.0832,dashscope_fast,fast,fast,1306,149,6.139524475524475e-05,qwen3.7-flash,db,,276,True,fast,23fbf856-e645-405d-b47d-ea11cdd8b923
L0-42#r1,1,L0-42,L0,free,none,beginner,zh,persona_fact,fast,standard,wt406q06-l0-42-r1-f40a57,2026-09-25T16:51:09+00:00,0.0373,0.0373,0.9834,0.9834,12.4562,17,33,8.6901,dashscope_fast,fast,fast,1332,148,6.207720279720279e-05,qwen3.7-flash,db,,257,True,fast,23fbf856-e645-405d-b47d-ea11cdd8b923
L0-43#r1,1,L0-43,L0,free,none,self_learner,en,quick_fact,fast,standard,wt406q06-l0-43-r1-ce61b5,2026-09-25T16:51:23+00:00,0.0234,0.0234,1.496,1.496,5.6258,22,39,0.9944,dashscope_fast,fast,fast,2668,245,0.0001173328671328671,qwen3.7-flash,db,,410,False,fast,d15e34cb-285e-4f0f-b472-19443bc676e9
L0-44#r1,1,L0-44,L0,free,none,exam_candidate,zh,quick_fact,fast,standard,wt406q06-l0-44-r1-594295,2026-09-25T16:51:29+00:00,0.0148,0.0148,0.8648,0.8648,18.0502,13,31,10.0814,dashscope_fast,fast,fast,1307,158,6.265272727272727e-05,qwen3.7-flash,db,,206,True,fast,d15e34cb-285e-4f0f-b472-19443bc676e9
L0-45#r1,1,L0-45,L0,free,none,college_student,zh,thanks,fast,standard,wt406q06-l0-45-r1-bfc75a,2026-09-25T16:51:48+00:00,0.0187,0.0187,0.6854,0.6854,12.0514,6,22,10.0592,dashscope_fast,fast,fast,1333,49,4.862251748251748e-05,qwen3.7-flash,db,,85,True,fast,d15e34cb-285e-4f0f-b472-19443bc676e9
L0-46#r1,1,L0-46,L0,free,none,researcher,zh,ack,fast,standard,wt406q06-l0-46-r1-7f9028,2026-09-25T16:52:01+00:00,0.0147,0.0147,0.9613,0.9613,1.7085,5,20,0.6199,dashscope_fast,fast,fast,1305,30,4.5153146853146843e-05,qwen3.7-flash,db,,54,True,fast,fd4a3770-5327-42aa-923d-905e44f26deb
L0-47#r1,1,L0-47,L0,free,none,professional,mixed,continuation,fast,standard,wt406q06-l0-47-r1-016bfc,2026-09-25T16:52:03+00:00,0.0161,0.0161,3.6436,3.6436,12.8872,9,28,7.9001,dashscope_fast,fast,fast,1331,81,5.291874125874125e-05,qwen3.7-flash,db,,134,True,fast,fd4a3770-5327-42aa-923d-905e44f26deb
L0-48#r1,1,L0-48,L0,free,none,beginner,zh,memory_write,fast,standard,wt406q06-l0-48-r1-26e3da,2026-09-25T16:52:17+00:00,0.0335,0.0335,1.0057,1.0057,22.2574,10,27,10.0866,dashscope_fast,fast,fast,1310,73,5.1168111888111876e-05,qwen3.7-flash,db,,133,True,fast,fd4a3770-5327-42aa-923d-905e44f26deb
L0-49#r1,1,L0-49,L0,free,none,self_learner,zh,greeting,fast,standard,wt406q06-l0-49-r1-d99cc7,2026-09-25T16:52:40+00:00,0.0401,0.0401,0.9672,0.9672,14.8621,5,22,10.0911,dashscope_fast,fast,fast,1332,52,4.899972027972027e-05,qwen3.7-flash,db,,102,True,fast,d6df3155-0a26-4446-81ca-a6c0e080ab82
L0-50#r1,1,L0-50,L0,free,none,exam_candidate,en,ack,fast,standard,wt406q06-l0-50-r1-0cbccc,2026-09-25T16:52:56+00:00,0.0267,0.0267,1.0619,1.0619,1.3065,2,17,0.6107,dashscope_fast,fast,fast,1330,2,4.21255944055944e-05,qwen3.7-flash,db,,3,False,fast,d6df3155-0a26-4446-81ca-a6c0e080ab82
L1-01#r1,1,L1-01,L1,free,none,beginner,zh,concept_def,fast,standard,wt406q06-l1-01-r1-90fe86,2026-09-25T16:52:58+00:00,0.0233,0.0233,1.3195,1.3195,20.0754,17,33,10.0919,dashscope_fast,fast,fast,2703,174,0.00010876237762237761,qwen3.7-flash,db,,287,True,fast,2d562188-f3e5-489c-af2e-a337a51b7b7a
L1-02#r1,1,L1-02,L1,free,none,self_learner,zh,concept_def,fast,standard,wt406q06-l1-02-r1-e1e254,2026-09-25T16:53:19+00:00,0.0373,0.0373,1.227,1.227,25.4818,12,29,10.0857,dashscope_fast,fast,fast,2623,126,9.970615384615383e-05,qwen3.7-flash,db,,212,False,fast,2d562188-f3e5-489c-af2e-a337a51b7b7a
L1-03#r1,1,L1-03,L1,free,none,exam_candidate,zh,concept_def,fast,standard,wt406q06-l1-03-r1-5fce70,2026-09-25T16:53:45+00:00,0.0357,0.0357,,,2.5136,0,7,1.8685,default,,balanced,0,0,0.0,fallback,db,,44,False,,
L1-04#r1,1,L1-04,L1,free,none,college_student,en,concept_def,fast,standard,wt406q06-l1-04-r1-d53bdc,2026-09-25T16:53:48+00:00,0.0321,0.0321,1.512,1.512,25.2949,33,49,10.0822,dashscope_fast,fast,fast,2667,353,0.00013201356643356642,qwen3.7-flash,db,,628,False,fast,735f8fce-21d6-4f56-805e-3d806755e09c
L1-05#r1,1,L1-05,L1,free,none,professional,zh,concept_def,fast,standard,wt406q06-l1-05-r1-7c6d17,2026-09-25T16:54:15+00:00,0.0412,0.0412,1.7267,1.7267,20.0187,21,39,10.0963,dashscope_fast,fast,fast,2699,244,0.00011817216783216782,qwen3.7-flash,db,,411,True,fast,735f8fce-21d6-4f56-805e-3d806755e09c
L1-06#r1,1,L1-06,L1,free,none,beginner,zh,concept_def,fast,standard,wt406q06-l1-06-r1-91e4f7,2026-09-25T16:54:35+00:00,0.0271,0.0271,1.702,1.702,22.7462,17,38,10.09,dashscope_fast,fast,fast,2661,199,0.0001108462937062937,qwen3.7-flash,db,,331,True,fast,735f8fce-21d6-4f56-805e-3d806755e09c
L1-07#r1,1,L1-07,L1,free,none,self_learner,en,concept_def,fast,standard,wt406q06-l1-07-r1-aa1379,2026-09-25T16:54:59+00:00,0.0328,0.0328,2.0925,2.0925,2.9641,5,22,1.4467,dashscope_fast,fast,fast,2657,32,8.797104895104895e-05,qwen3.7-flash,db,,55,False,fast,e310ef4a-caa0-4a7d-88d5-07f4b3495df8
L1-08#r1,1,L1-08,L1,free,none,exam_candidate,zh,howto,fast,standard,wt406q06-l1-08-r1-ebb767,2026-09-25T16:55:03+00:00,0.0392,0.0392,1.5703,1.5703,20.108,39,57,10.0755,dashscope_fast,fast,fast,2688,436,0.000143980979020979,qwen3.7-flash,db,,726,True,fast,e310ef4a-caa0-4a7d-88d5-07f4b3495df8
L1-09#r1,1,L1-09,L1,free,none,college_student,zh,concept_def,fast,standard,wt406q06-l1-09-r1-7896ab,2026-09-25T16:55:24+00:00,0.01,0.01,1.8917,1.8917,26.2895,38,57,10.0994,dashscope_fast,fast,fast,2679,425,0.0001421993006993007,qwen3.7-flash,db,,747,True,fast,e310ef4a-caa0-4a7d-88d5-07f4b3495df8
L1-10#r1,1,L1-10,L1,free,none,beginner,zh,howto,fast,standard,wt406q06-l1-10-r1-c7a68e,2026-09-25T16:55:51+00:00,0.0123,0.0123,0.9738,0.9738,21.1333,22,40,10.0903,dashscope_fast,fast,fast,1312,214,7.043860139860139e-05,qwen3.7-flash,db,,348,True,fast,69d3226b-83bb-49ea-a536-e3fa97c58dde
L1-11#r1,1,L1-11,L1,free,none,self_learner,zh,concept_def,fast,standard,wt406q06-l1-11-r1-8230d4,2026-09-25T16:56:13+00:00,0.043,0.043,1.3507,1.3507,21.518,28,46,10.0672,dashscope_fast,fast,fast,2677,298,0.00012483594405594405,qwen3.7-flash,db,,556,True,fast,69d3226b-83bb-49ea-a536-e3fa97c58dde
L1-12#r1,1,L1-12,L1,free,none,professional,zh,concept_def,fast,standard,wt406q06-l1-12-r1-c4ebb6,2026-09-25T16:56:35+00:00,0.0213,0.0213,1.9592,1.9592,19.4588,22,40,10.0953,dashscope_fast,fast,fast,2619,248,0.0001161995804195804,qwen3.7-flash,db,,468,True,fast,69d3226b-83bb-49ea-a536-e3fa97c58dde
L1-13#r1,1,L1-13,L1,free,none,college_student,zh,concept_def,fast,standard,wt406q06-l1-13-r1-0089e2,2026-09-25T16:56:55+00:00,0.0338,0.0338,2.0495,2.0495,25.0951,44,62,10.0822,dashscope_fast,fast,fast,2713,608,0.0001681981818181818,qwen3.7-flash,db,,1141,True,fast,fd7e6179-461a-4f72-a0c1-9b1379f63bac
L1-14#r1,1,L1-14,L1,free,none,exam_candidate,zh,concept_def,fast,standard,wt406q06-l1-14-r1-91f012,2026-09-25T16:57:21+00:00,0.025,0.025,2.467,2.467,35.0248,64,81,10.0974,dashscope_fast,fast,fast,2671,754,0.00018676517482517482,qwen3.7-flash,db,,1281,True,fast,fd7e6179-461a-4f72-a0c1-9b1379f63bac
L1-15#r1,1,L1-15,L1,free,none,beginner,zh,comparison,fast,standard,wt406q06-l1-15-r1-3b1567,2026-09-25T16:57:57+00:00,0.0273,0.0273,1.7546,1.7546,33.7126,32,51,10.094,dashscope_fast,fast,fast,2670,355,0.00013238041958041957,qwen3.7-flash,db,,619,True,fast,fd7e6179-461a-4f72-a0c1-9b1379f63bac
L1-16#r1,1,L1-16,L1,free,none,exam_candidate,zh,goal_check,fast,standard,wt406q06-l1-16-r1-8e9c09,2026-09-25T16:58:31+00:00,0.0124,0.0124,0.7551,0.7551,30.2174,45,63,10.0894,dashscope_fast,fast,fast,1320,546,0.00011591664335664336,qwen3.7-flash,db,,876,False,fast,ac5a765b-dcaa-4062-975c-6fef184fb260
L1-17#r1,1,L1-17,L1,free,none,college_student,zh,quiz_gen,fast,standard,wt406q06-l1-17-r1-10a308,2026-09-25T16:59:02+00:00,0.0355,0.0355,,,3.2801,0,6,3.2323,default,,balanced,0,0,0.0,fallback,db,,60,True,,
L1-18#r1,1,L1-18,L1,free,none,self_learner,zh,concept_def,fast,standard,wt406q06-l1-18-r1-afec9b,2026-09-25T16:59:07+00:00,0.0336,0.0336,2.0892,2.0892,33.206,19,38,10.0723,dashscope_fast,fast,fast,2693,230,0.00011607622377622377,qwen3.7-flash,db,,429,True,fast,ac5a765b-dcaa-4062-975c-6fef184fb260
L1-19#r1,1,L1-19,L1,free,none,professional,en,concept_def,fast,standard,wt406q06-l1-19-r1-96025d,2026-09-25T16:59:41+00:00,0.0391,0.0391,1.5577,1.5577,24.8167,13,32,10.0944,dashscope_fast,fast,fast,1313,129,5.8891048951048946e-05,qwen3.7-flash,db,,248,False,fast,9a51daeb-f78a-4f23-8d1b-f46a916aba35
L1-20#r1,1,L1-20,L1,free,none,college_student,zh,concept_def,fast,standard,wt406q06-l1-20-r1-a25c9c,2026-09-25T17:00:06+00:00,0.0215,0.0215,1.8651,1.8651,20.6437,23,39,10.0869,dashscope_fast,fast,fast,2688,238,0.0001170086713286713,qwen3.7-flash,db,,433,True,fast,9a51daeb-f78a-4f23-8d1b-f46a916aba35
L1-21#r1,1,L1-21,L1,free,none,beginner,zh,howto,fast,standard,wt406q06-l1-21-r1-14b82f,2026-09-25T17:00:28+00:00,0.0314,0.0314,1.9011,1.9011,27.6098,35,51,10.0857,dashscope_fast,fast,fast,13482,385,0.00047670489510489504,qwen3.7-flash,db,,657,True,fast,9a51daeb-f78a-4f23-8d1b-f46a916aba35
L1-22#r1,1,L1-22,L1,free,none,professional,zh,howto,fast,standard,wt406q06-l1-22-r1-720917,2026-09-25T17:00:56+00:00,0.0149,0.0149,1.4811,1.4811,26.3434,65,83,10.0701,dashscope_fast,fast,fast,13300,763,0.0005224702097902096,qwen3.7-flash,db,,1372,True,fast,91b22253-9073-44f1-94b3-9ded4fbc5b44
L1-23#r1,1,L1-23,L1,free,none,beginner,zh,howto,fast,standard,wt406q06-l1-23-r1-feac6f,2026-09-25T17:01:23+00:00,0.0351,0.0351,1.3493,1.3493,19.6278,35,54,10.096,dashscope_fast,fast,fast,2679,429,0.0001427441958041958,qwen3.7-flash,db,,742,True,fast,91b22253-9073-44f1-94b3-9ded4fbc5b44
