qid,layer,persona,lang,intent,lane,reasoning_mode_sent,chat_mode_sent,lane_sent_user_tier,message_chars,session_turn,request_id,run_tag,t_first_event_s,t_first_stage_s,first_stage_name,stage_sequence,ttft_first_delta_s,ttft_first_content_s,total_s,delta_events,status_events,frame_count,max_gap_s,db_model,db_model_tier,db_ai_reasoning_mode,first_touch_tier,db_prompt_tokens,db_completion_tokens,db_total_tokens,usage_src,engine_cost_usd_db,price_model,cost_usd,fallback_flag,error_code,error_msg,response_chars,answered,abstain_flag,lang_match,relevance_screen,quality_pass,aurora_l1_budget_tokens,aurora_l1_retrieval_mode,session_id
L0-11,L0,professional,zh,memory_write,free,fast,standard,,17,2,wt372-e08-run-l0-11-de0db9,run,0.444,0.444,intake,intake>planning,1.2942,1.2942,1.4859,2,5,15,0.6884,dashscope_fast,fast,fast,fast,1339,10,1349,db,0.000135,qwen3.7-flash,4.3498601398601386e-05,False,,,16,True,False,True,,True,,,07194998-7261-4839-9d04-b0d57182789a
L0-12,L0,beginner,zh,quick_fact,free,fast,standard,,7,3,wt372-e08-run-l0-12-5aad48,run,0.1681,0.2542,intake,intake>planning,1.5347,1.5347,1.7593,2,5,17,0.9882,dashscope_fast,fast,fast,fast,1334,19,1353,db,0.000135,qwen3.7-flash,4.456727272727272e-05,False,,,34,True,False,True,0.0,False,,,07194998-7261-4839-9d04-b0d57182789a
L0-13,L0,college_student,en,quick_fact,free,fast,standard,,19,1,wt372-e08-run-l0-13-159919,run,1.0928,1.0928,intake,intake>planning>processing,1.8759,1.8759,16.7251,6,6,22,10.0738,dashscope_fast,fast,fast,fast,2555,61,2616,db,0.000262,qwen3.7-flash,8.871174825174824e-05,False,,,90,True,False,True,1.0,True,,,b0d192da-496f-4795-8d71-2d3b20293f6d
L0-14,L0,self_learner,en,greeting,free,fast,standard,,6,2,wt372-e08-run-l0-14-bbc216,run,0.6186,0.6186,intake,intake>planning,1.5345,1.5345,2.1092,3,5,15,0.6134,dashscope_fast,fast,fast,fast,1304,32,1336,db,0.000134,qwen3.7-flash,4.5394125874125873e-05,False,,,63,True,False,False,,False,,,b0d192da-496f-4795-8d71-2d3b20293f6d
L0-15,L0,exam_candidate,zh,greeting,free,fast,standard,,2,3,wt372-e08-run-l0-15-740dba,run,0.2379,0.2379,intake,intake>planning>processing,0.7918,0.7918,16.4287,7,6,20,10.0672,dashscope_fast,fast,fast,fast,1329,68,1397,db,0.00014,qwen3.7-flash,5.10848951048951e-05,False,,,130,True,False,True,,True,,,b0d192da-496f-4795-8d71-2d3b20293f6d
L0-16,L0,self_learner,zh,greeting,free,fast,standard,,2,1,wt372-e08-run-l0-16-5fc66c,run,0.4078,0.4078,intake,intake>planning,1.0334,1.0334,1.2684,2,5,14,0.4225,dashscope_fast,fast,fast,fast,1303,11,1314,db,0.000131,qwen3.7-flash,4.2501958041958034e-05,False,,,18,True,False,True,,True,,,ad7143fd-5010-44dd-88bb-56e8912c2c2e
L0-17,L0,professional,mixed,greeting,free,fast,standard,,25,2,wt372-e08-run-l0-17-fa8336,run,0.3151,0.3151,intake,intake>planning,0.814,0.814,10.8085,9,5,23,8.6957,dashscope_fast,fast,fast,fast,1334,103,1437,db,0.000144,qwen3.7-flash,5.6010069930069914e-05,False,,,477,True,False,True,,True,,,ad7143fd-5010-44dd-88bb-56e8912c2c2e
L0-18,L0,beginner,zh,ack,free,fast,standard,,4,3,wt372-e08-run-l0-18-3963ec,run,0.3422,0.3422,intake,intake>planning>processing,1.0784,1.0784,14.3923,7,6,20,10.0733,dashscope_fast,fast,fast,fast,1330,74,1404,db,0.00014,qwen3.7-flash,5.193370629370629e-05,False,,,143,True,False,True,,True,,,ad7143fd-5010-44dd-88bb-56e8912c2c2e
L0-19,L0,exam_candidate,zh,continuation,free,fast,standard,,2,1,wt372-e08-run-l0-19-6c6548,run,0.329,0.329,intake,intake>planning,1.1342,1.1342,1.4338,3,5,15,0.5754,dashscope_fast,fast,fast,fast,1329,17,1346,db,0.000135,qwen3.7-flash,4.4137482517482514e-05,False,,,29,True,False,True,,True,,,aa9176f1-1c20-47b8-b679-5b6d22162f09
L0-20,L0,college_student,zh,ack,free,fast,standard,,9,2,wt372-e08-run-l0-20-13e867,run,0.3938,0.3938,intake,intake>planning,1.3193,1.3193,2.2792,5,5,17,0.639,dashscope_fast,fast,fast,fast,1308,41,1349,db,0.000135,qwen3.7-flash,4.6746013986013976e-05,False,,,71,True,False,True,,True,,,aa9176f1-1c20-47b8-b679-5b6d22162f09
L0-21,L0,self_learner,zh,continuation,free,fast,standard,,5,3,wt372-e08-run-l0-21-194d71,run,0.34,0.34,intake,intake>planning>processing>processing>processing>processing>processing>processing>processing>processing,1.0535,1.0535,90.0064,15,13,34,10.0839,default,,balanced,fast,0,0,0,db,0,fallback,0.0,True,_MultiThreadedRendezvous,"<_MultiThreadedRendezvous of RPC that terminated with:
	status = StatusCode.DEADLINE_EXCEEDED
	details = ""Deadline Excee",281,True,False,True,,True,,,aa9176f1-1c20-47b8-b679-5b6d22162f09
L0-22,L0,beginner,zh,thanks,free,fast,standard,,8,1,wt372-e08-run-l0-22-cd889d,run,0.626,0.7234,intake,intake>planning>processing>processing>processing>processing>processing>processing,59.1481,59.1481,75.8252,7,11,27,10.0868,dashscope_fast,fast,fast,fast,1332,66,1398,db,0.00014,qwen3.7-flash,5.090685314685314e-05,False,,,123,True,False,True,,True,,,29c936b7-0cfc-41fe-8301-856dffdf8057
L0-23,L0,exam_candidate,zh,memory_write,free,fast,standard,,17,2,wt372-e08-run-l0-23-615a02,run,0.7875,0.7875,intake,intake>planning>processing>processing>processing,1.3832,1.3832,33.6035,5,8,28,10.0621,dashscope_fast,fast,fast,fast,1340,55,1395,db,0.00014,qwen3.7-flash,4.9660139860139856e-05,False,,,93,True,False,True,,True,,,29c936b7-0cfc-41fe-8301-856dffdf8057
L0-24,L0,beginner,zh,persona_fact,free,fast,standard,,4,3,wt372-e08-run-l0-24-e389c6,run,0.5093,0.5093,intake,intake>planning>processing,2.0854,2.0854,16.6305,5,6,20,10.0516,dashscope_fast,fast,fast,fast,1336,46,1382,db,0.000138,qwen3.7-flash,4.830825174825174e-05,False,,,84,True,False,True,,True,,,29c936b7-0cfc-41fe-8301-856dffdf8057
L0-25,L0,college_student,zh,quick_fact,free,fast,standard,,10,1,wt372-e08-run-l0-25-b9e7c2,run,0.9343,0.9343,intake,intake>planning,1.7199,1.7199,2.432,5,5,17,0.5534,dashscope_fast,fast,fast,fast,1336,55,1391,db,0.000139,qwen3.7-flash,4.9534265734265725e-05,False,,,78,True,False,True,0.6,True,,,792ecbe1-7813-4742-91cc-c20c625ef820
L0-26,L0,professional,en,quick_fact,free,fast,standard,,39,2,wt372-e08-run-l0-26-9be6c1,run,0.2581,0.2581,intake,intake>planning,0.7685,0.7685,1.617,5,5,17,0.326,dashscope_fast,fast,fast,fast,1077,46,1123,db,0.000112,qwen3.7-flash,4.01579020979021e-05,False,,,180,True,False,True,0.6,True,,,792ecbe1-7813-4742-91cc-c20c625ef820
L1-01,L1,beginner,zh,concept_def,free,fast,standard,,8,3,wt372-e08-run-l1-01-f566fa,run,0.9032,0.9032,intake,intake>planning>processing,1.5117,1.5117,17.9801,17,6,30,10.0466,dashscope_fast,fast,fast,fast,2577,176,2753,db,0.000275,qwen3.7-flash,0.00010506979020979019,False,,,308,True,False,True,0.6,True,,,792ecbe1-7813-4742-91cc-c20c625ef820
L1-02,L1,self_learner,zh,concept_def,free,fast,standard,,13,1,wt372-e08-run-l1-02-312db5,run,1.1608,1.1608,intake,intake>planning,2.0254,2.0254,2.3237,3,5,15,0.5583,dashscope_fast,fast,fast,fast,2519,20,2539,db,0.000254,qwen3.7-flash,8.199370629370627e-05,False,,,43,True,False,True,0.3,False,,,94c4da18-962d-4e26-bc9c-e0849f853460
L1-03,L1,exam_candidate,zh,concept_def,free,fast,standard,,15,2,wt372-e08-run-l1-03-0fc3eb,run,5.3964,5.3964,intake,intake,,5.3975,5.4119,0,2,5,0.0004,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,108,True,False,True,0.167,False,,,
L1-04,L1,college_student,en,concept_def,free,fast,standard,,26,3,wt372-e08-run-l1-04-a19209,run,0.2637,0.7064,intake,intake>planning>processing>processing,1.3579,1.3579,29.3193,28,7,43,10.0767,dashscope_fast,fast,fast,fast,2561,309,2870,db,0.000287,qwen3.7-flash,0.00012268405594405594,False,,,559,True,False,False,1.0,False,,,94c4da18-962d-4e26-bc9c-e0849f853460
L1-05,L1,professional,zh,concept_def,free,fast,standard,,9,1,wt372-e08-run-l1-05-7dde0e,run,0.9312,0.9312,intake,intake>planning>processing,1.8065,1.8065,22.463,10,6,25,10.0016,dashscope_fast,fast,fast,fast,2593,111,2704,db,0.00027,qwen3.7-flash,9.671874125874124e-05,False,,,174,True,False,True,0.667,True,,,f0447636-1e8a-4f59-b76d-812168affdd5
L1-06,L1,beginner,zh,concept_def,free,fast,standard,,9,2,wt372-e08-run-l1-06-9c1faa,run,1.0664,1.0664,intake,intake>planning>processing,1.9111,1.9111,19.5723,17,6,32,10.0594,dashscope_fast,fast,fast,fast,2550,178,2728,db,0.000273,qwen3.7-flash,0.0001044925874125874,False,,,282,True,False,True,0.667,True,,,f0447636-1e8a-4f59-b76d-812168affdd5
L1-07,L1,self_learner,en,concept_def,free,fast,standard,,45,3,wt372-e08-run-l1-07-dc14a0,run,1.1653,1.1653,intake,intake>planning,1.9543,1.9543,2.3677,3,5,15,0.5278,dashscope_fast,fast,fast,fast,2559,20,2579,db,0.000258,qwen3.7-flash,8.325244755244754e-05,False,,,35,True,False,False,0.0,False,,,f0447636-1e8a-4f59-b76d-812168affdd5
L1-08,L1,exam_candidate,zh,howto,free,fast,standard,,8,1,wt372-e08-run-l1-08-9e781d,run,0.9721,0.9721,intake,intake>planning>processing,1.7079,1.7079,22.3973,21,6,34,10.0661,dashscope_fast,fast,fast,fast,2575,241,2816,db,0.000282,qwen3.7-flash,0.00011386139860139859,False,,,406,True,False,True,0.4,True,,,09ac614e-4946-4ec9-8443-072b2b01bdb1
L1-09,L1,college_student,zh,concept_def,free,fast,standard,,19,2,wt372-e08-run-l1-09-06ab5b,run,1.3481,1.3481,intake,intake>planning>processing,2.1484,2.1484,19.419,33,6,52,10.0688,dashscope_fast,fast,fast,fast,2625,378,3003,db,0.0003,qwen3.7-flash,0.0001340974825174825,False,,,652,True,False,True,0.562,True,,,09ac614e-4946-4ec9-8443-072b2b01bdb1
L1-10,L1,beginner,zh,howto,free,fast,standard,,13,3,wt372-e08-run-l1-10-2931fb,run,0.8129,0.8129,intake,intake>planning>processing,1.5209,1.5209,22.3515,53,6,66,10.058,dashscope_fast,fast,fast,fast,1338,567,1905,db,0.00019,qwen3.7-flash,0.00011934377622377621,False,,,894,True,False,True,0.714,True,,,09ac614e-4946-4ec9-8443-072b2b01bdb1
L1-11,L1,self_learner,zh,concept_def,free,fast,standard,,8,1,wt372-e08-run-l1-11-7c4592,run,0.8795,0.8795,intake,intake>planning>processing,2.4003,2.4003,22.5734,15,6,30,10.064,dashscope_fast,fast,fast,fast,13401,206,13607,db,0.001361,qwen3.7-flash,0.0004497718881118881,False,,,380,True,False,True,0.6,True,,,358a52ce-7374-436a-9b13-8d932e11dfc0
L1-12,L1,professional,zh,concept_def,free,fast,standard,,8,2,wt372-e08-run-l1-12-662160,run,0.8315,0.8315,intake,intake>planning>processing,1.7033,1.7033,22.029,38,6,51,10.0638,dashscope_fast,fast,fast,fast,2572,419,2991,db,0.000299,qwen3.7-flash,0.00013801482517482517,False,,,790,True,False,True,0.4,True,,,358a52ce-7374-436a-9b13-8d932e11dfc0
L1-13,L1,college_student,zh,concept_def,free,fast,standard,,10,3,wt372-e08-run-l1-13-c2a297,run,1.1553,1.1553,intake,intake>planning>processing,2.0796,2.0796,26.9133,37,6,51,10.0454,dashscope_fast,fast,fast,fast,2639,426,3065,db,0.000306,qwen3.7-flash,0.0001410767832167832,False,,,788,True,False,True,0.857,True,,,358a52ce-7374-436a-9b13-8d932e11dfc0
L1-14,L1,exam_candidate,zh,concept_def,free,fast,standard,,12,1,wt372-e08-run-l1-14-d3994b,run,1.3462,1.3462,intake,intake>planning>processing,3.25,3.25,25.9017,39,6,52,10.052,dashscope_fast,fast,fast,fast,13396,465,13861,db,0.001386,qwen3.7-flash,0.0004848965034965034,False,,,781,True,False,True,0.667,True,,,8d52d25a-665b-4098-a3e2-5ccebf991728
L1-15,L1,beginner,zh,comparison,free,fast,standard,,16,2,wt372-e08-run-l1-15-925cd0,run,2.0058,2.0058,intake,intake>planning>processing,3.0437,3.0437,18.2798,23,6,40,10.0537,dashscope_fast,fast,fast,fast,2540,263,2803,db,0.00028,qwen3.7-flash,0.00011575692307692307,False,,,465,True,False,True,0.846,True,,,8d52d25a-665b-4098-a3e2-5ccebf991728
L1-16,L1,exam_candidate,zh,goal_check,free,fast,standard,,24,3,wt372-e08-run-l1-16-0ecaf6,run,0.5039,0.5039,intake,intake>planning>processing,1.2013,1.2013,16.7898,21,6,39,10.072,dashscope_fast,fast,fast,fast,1320,243,1563,db,0.000156,qwen3.7-flash,7.464083916083915e-05,False,,,383,True,False,True,0.273,False,,,8d52d25a-665b-4098-a3e2-5ccebf991728
L1-17,L1,college_student,zh,quiz_gen,free,fast,standard,,15,1,wt372-e08-run-l1-17-96d729,run,3.4156,3.4156,intake,intake,,3.4169,3.4293,0,2,5,0.0004,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,54,True,False,True,0.545,True,,,
L1-18,L1,self_learner,zh,concept_def,free,fast,standard,,8,1,wt372-e08-run-l1-18-c84a3d,run,0.2081,0.9489,intake,intake>planning>processing,1.6785,1.6785,19.2637,26,6,44,10.0593,dashscope_fast,fast,fast,fast,2587,275,2862,db,0.000286,qwen3.7-flash,0.00011887062937062935,False,,,489,True,False,True,0.6,True,,,df1f19c3-7c9b-4c39-a381-927cf91ce9d7
L1-19,L1,professional,en,concept_def,free,fast,standard,,57,2,wt372-e08-run-l1-19-d97eff,run,0.4361,0.4361,intake,intake>planning>processing>processing,1.1659,1.1659,33.8066,33,7,47,10.0592,dashscope_fast,fast,fast,fast,1041,372,1413,db,0.000141,qwen3.7-flash,8.343398601398601e-05,False,,,695,True,False,False,0.111,False,,,df1f19c3-7c9b-4c39-a381-927cf91ce9d7
L1-20,L1,college_student,zh,concept_def,free,fast,standard,,22,3,wt372-e08-run-l1-20-65ced1,run,1.0913,1.0913,intake,intake>planning>processing,1.9036,1.9036,25.387,28,6,43,10.0505,dashscope_fast,fast,fast,fast,2552,302,2854,db,0.000285,qwen3.7-flash,0.00012144727272727271,False,,,549,True,False,True,0.5,True,,,df1f19c3-7c9b-4c39-a381-927cf91ce9d7
L1-21,L1,beginner,zh,howto,free,fast,standard,,8,1,wt372-e08-run-l1-21-f6ae20,run,0.7427,1.2477,intake,intake>planning>processing,2.0391,2.0391,23.2286,54,6,68,10.0381,dashscope_fast,fast,fast,fast,2587,604,3191,db,0.000319,qwen3.7-flash,0.00016368825174825174,False,,,1067,True,False,True,0.6,True,,,017c13d9-e59d-4b5a-adfa-e6a8b65bef67
L1-22,L1,professional,zh,howto,free,fast,standard,,13,2,wt372-e08-run-l1-22-4c0918,run,0.5428,0.5428,intake,intake>planning>processing,2.2143,2.2143,25.0752,21,6,36,10.0575,dashscope_fast,fast,fast,fast,13182,224,13406,db,0.001341,qwen3.7-flash,0.0004453323076923076,False,,,364,True,False,True,0.3,False,,,017c13d9-e59d-4b5a-adfa-e6a8b65bef67
L1-23,L1,beginner,zh,howto,free,fast,standard,,14,3,wt372-e08-run-l1-23-ee2e34,run,1.1263,1.1263,intake,intake>planning>processing>processing,2.1036,2.1036,38.7545,58,7,75,10.0398,dashscope_fast,fast,fast,fast,2566,724,3290,db,0.000329,qwen3.7-flash,0.00017937426573426572,False,,,1244,True,False,True,0.727,True,,,017c13d9-e59d-4b5a-adfa-e6a8b65bef67
L1-24,L1,exam_candidate,zh,concept_def,free,fast,standard,,9,1,wt372-e08-run-l1-24-02c3a7,run,1.1895,1.1895,intake,intake>planning>processing>processing,2.2469,2.2469,30.2631,18,7,35,10.0586,dashscope_fast,fast,fast,fast,2557,339,2896,db,0.00029,qwen3.7-flash,0.00012664489510489507,False,,,645,True,False,True,0.667,True,,,950efb70-f70c-4d80-887b-991d09f7c7dd
L1-25,L1,college_student,zh,howto,free,fast,standard,,11,2,wt372-e08-run-l1-25-984f69,run,1.2939,1.2939,intake,intake>planning,2.1172,2.1172,5.9692,19,5,33,0.5741,dashscope_fast,fast,fast,fast,2570,248,2818,db,0.000282,qwen3.7-flash,0.00011465762237762236,False,,,423,True,False,True,0.625,True,,,950efb70-f70c-4d80-887b-991d09f7c7dd
L1-26,L1,self_learner,zh,howto,free,fast,standard,,12,3,wt372-e08-run-l1-26-2c7aae,run,0.7955,0.7955,intake,intake>planning,1.9484,1.9484,19.6059,38,5,53,9.8345,dashscope_fast,fast,fast,fast,2563,385,2948,db,0.000295,qwen3.7-flash,0.00013309999999999998,False,,,711,True,False,True,0.5,True,,,950efb70-f70c-4d80-887b-991d09f7c7dd
L2-01,L2,exam_candidate,zh,comparison,free,deep,standard,,35,1,wt372-e08-run-l2-01-99fb3d,run,1.2952,1.2952,intake,intake>planning>processing,2.1806,2.1806,26.4753,63,5,78,10.0742,dashscope_fast,fast,deep,,2612,793,3405,db,0.000341,qwen3.7-flash,0.00019022125874125875,False,,,1473,True,False,True,0.75,True,,,831ae87a-77e7-49ee-abdb-0203486b9e99
L2-02,L2,self_learner,zh,diagnose,free,deep,standard,,44,2,wt372-e08-run-l2-02-00cd86,run,0.5451,0.5451,intake,intake>planning,12.5471,12.5471,12.696,1,4,15,9.4927,dashscope_fast,fast,deep,,13200,78,13278,db,0.001328,qwen3.7-flash,0.00042601006993006987,False,,,86,True,False,True,1.0,True,,,831ae87a-77e7-49ee-abdb-0203486b9e99
L2-03,L2,college_student,zh,theory_apply,free,deep,standard,,25,3,wt372-e08-run-l2-03-35db26,run,1.8409,1.8409,intake,intake>planning>processing,2.9032,2.9032,18.1228,18,5,39,10.0964,dashscope_fast,fast,deep,,2568,206,2774,db,0.000277,qwen3.7-flash,0.00010887328671328668,False,,,333,True,False,True,0.682,True,,,831ae87a-77e7-49ee-abdb-0203486b9e99
L2-04,L2,college_student,zh,error_diagnosis,free,deep,standard,,44,1,wt372-e08-run-l2-04-58ed25,run,1.5541,1.5541,intake,intake>planning,2.4981,2.4981,14.2956,25,4,45,7.7726,dashscope_fast,fast,deep,,2586,356,2942,db,0.000294,qwen3.7-flash,0.0001298732867132867,False,,,540,True,False,True,0.385,True,,,40f62b7e-df78-4655-baaa-5c1c0cf407ba
L2-05,L2,professional,mixed,code_review,free,deep,standard,,85,2,wt372-e08-run-l2-05-fdf988,run,1.688,1.688,intake,intake>planning>processing>processing>processing>processing,2.6782,2.6782,58.1488,56,8,75,10.0642,dashscope_fast,fast,deep,,2558,648,3206,db,0.000321,qwen3.7-flash,0.00016876951048951046,False,,,1367,True,False,True,0.417,True,,,40f62b7e-df78-4655-baaa-5c1c0cf407ba
L2-06,L2,researcher,zh,writing_feedback,free,deep,standard,,70,3,wt372-e08-run-l2-06-08ab84,run,0.3339,0.5798,intake,intake>planning>processing,1.2861,1.2861,22.6613,27,5,44,10.0507,dashscope_fast,fast,deep,,1340,277,1617,db,0.000162,qwen3.7-flash,7.990181818181817e-05,False,,,502,True,False,True,0.542,True,,,40f62b7e-df78-4655-baaa-5c1c0cf407ba
L2-07,L2,self_learner,zh,theory_apply,free,deep,standard,,28,1,wt372-e08-run-l2-07-94c63a,run,1.1045,1.1045,intake,intake>planning>processing,1.7655,1.7655,21.5949,40,5,55,10.065,dashscope_fast,fast,deep,,2494,429,2923,db,0.000292,qwen3.7-flash,0.00013692251748251746,False,,,805,True,False,True,0.696,True,,,072fc2d0-39b5-4076-ba93-58aed6a35c5e
L2-08,L2,researcher,zh,math_derive,free,deep,standard,,25,2,wt372-e08-run-l2-08-1575e0,run,3.0305,3.0305,intake,intake,,3.0315,3.0412,0,2,6,0.0004,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,39,True,False,True,0.095,False,,,
L2-09,L2,beginner,zh,comparison,free,deep,standard,,24,3,wt372-e08-run-l2-09-d3feb5,run,4.9532,,,,,4.9533,4.9629,0,1,2,0.0001,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,68,True,False,True,1.0,True,,,072fc2d0-39b5-4076-ba93-58aed6a35c5e
L2-10,L2,exam_candidate,zh,plan_eval,free,deep,standard,,71,1,wt372-e08-run-l2-10-b2bca0,run,0.1925,5.2355,intake,intake,,5.2371,5.2464,0,2,8,5.0428,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,99,True,False,True,0.083,False,,,
L2-11,L2,self_learner,zh,attribution,free,deep,standard,,38,1,wt372-e08-run-l2-11-2b2ffb,run,3.5692,3.5692,intake,intake,,3.5702,3.5746,0,2,6,0.0003,default,,balanced,,0,0,0,db,0,fallback,0.0,True,,,116,True,False,True,0.292,False,,,
L2-12,L2,professional,zh,diagnose,free,deep,error_diagnosis,,38,1,wt372-e08-run-l2-12-1aacb8,run,3.8351,3.8351,handoff,handoff>reviewing>processing,3.9734,3.9734,22.7636,29,9,60,10.003,dashscope_fast,fast,deep,,1648,286,1934,db,0.000193,qwen3.7-flash,9.082013986013986e-05,False,,,550,True,False,True,0.0,False,,,49588ecd-8164-49c3-9036-cd2ddf4586e5
L2-13,L2,college_student,zh,theory_apply,free,deep,standard,,30,2,wt372-e08-run-l2-13-b922a9,run,1.4453,1.4453,intake,intake>planning>processing,2.1819,2.1819,29.1093,63,5,80,10.0604,dashscope_fast,fast,deep,,2526,741,3267,db,0.000327,qwen3.7-flash,0.00018043132867132865,False,,,1288,True,False,True,0.792,True,,,49588ecd-8164-49c3-9036-cd2ddf4586e5
L2-14,L2,professional,mixed,code_review,pro,deep,standard,pro,69,3,wt372-e08-run-l2-14-659681,run,3.5923,3.5923,intake,intake>reviewing>processing,5.186,5.186,32.4939,81,7,104,10.0682,dashscope_fast,fast,deep,,1684,1006,2690,db,0.000269,qwen3.7-flash,0.00019003412587412585,False,,,2049,True,False,True,0.583,True,,,49588ecd-8164-49c3-9036-cd2ddf4586e5
L2-15,L2,researcher,zh,theory_apply,pro,deep,standard,pro,40,1,wt372-e08-run-l2-15-fab5fa,run,0.349,0.349,intake,intake>planning>processing,1.8215,1.8215,32.0924,62,5,78,10.0591,dashscope_fast,fast,deep,,13222,711,13933,db,0.001393,qwen3.7-flash,0.0005129320279720279,False,,,1300,True,False,True,0.792,True,,,9899e51e-af68-4f14-8264-8fe34e663870
L2-16,L2,researcher,zh,experiment_design,pro,deep,standard,pro,56,2,wt372-e08-run-l2-16-1c8fdd,run,5.6111,5.6111,intake,intake>planning>processing,6.2069,6.2069,34.0391,54,5,71,10.0422,dashscope_fast,fast,deep,,2586,630,3216,db,0.000322,qwen3.7-flash,0.0001671986013986014,False,,,1124,True,False,True,0.583,True,,,9899e51e-af68-4f14-8264-8fe34e663870
